TOA5,Esolmet_CR6_IP,CR6.Std.12.01,CPU:20230531_Esolmet_CR6.CR6,58573,,,,,,,,,,,,,,
TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Avg,AirTC_Avg,AirTC_Max,AirTC_Min,AirTC_Std,RH,RH_Max,RH_Min,WS_ms_Avg,WS_ms_Max,WS_ms_Min,WS_ms_Std,WindDir,CS106_PB_Avg,Rain_mm_Tot
TS,RN,W/m2,W/m2,W/m2,Deg C,Deg C,Deg C,Deg C,%,%,%,meters/second,meters/second,meters/second,meters/second,degrees,mbar,mm
,,Avg,Avg,Avg,Avg,Max,Min,Std,Smp,Max,Min,Avg,Max,Min,Std,Smp,Avg,Tot
31/05/2023 19:00,0,9.46,10.85,7.205,27.75,27.78,27.72,0.023,60.46,60.46,60.1,0,0,0,0,344.7,641.4001,0
31/05/2023 19:10,1,8.28,1.209,6.596,27.52,27.53,27.5,0.016,60.98,61.05,60.79,0,0,0,0,325.8,641.4002,0
31/05/2023 19:20,2,0.937,3.795,0.305,27.48,27.48,27.48,0.001,60.98,60.98,60.66,0,0,0,0,325,641.3995,0
31/05/2023 19:30,3,0,4.217,0,27.27,27.27,27.27,0,61.18,61.18,61.18,0,0,0,0,324.9,641.4,0
31/05/2023 19:40,4,0,3.655,0,27.14,27.29,27.01,0.085,61.51,61.91,60.77,0,0,0,0,328.3,641.4001,0
31/05/2023 19:50,5,0,5.9,0,26.97,27,26.94,0.013,61.01,61.85,60.88,0,0,0,0,306.1,641.4,0
31/05/2023 20:00,6,0,8.99,0,27.02,27.11,26.9,0.07,60.84,60.86,59.83,0,0,0,0,341.5,641.4002,0
31/05/2023 20:10,7,0,11.79,0,26.84,26.87,26.78,0.027,61.32,61.32,60.32,0,0,0,0,329.4,641.4001,0
31/05/2023 20:20,8,0,11.35,0,26.71,26.74,26.68,0.02,61.42,61.6,61.08,0,0,0,0,339.5,641.4003,0
31/05/2023 20:30,9,0,4.474,0,26.62,26.67,26.6,0.018,61.9,62.61,61.36,0,0,0,0,16.99,641.3997,0
31/05/2023 20:40,10,0,6.347,0,26.63,26.69,26.57,0.046,61.23,61.67,60.95,0,0,0,0,340,641.3999,0
31/05/2023 20:50,11,0,9.44,0,26.57,26.61,26.5,0.032,60.67,61.47,60.66,0,0,0,0,293.6,641.3998,0
31/05/2023 21:00,12,0,8.75,0,26.57,26.61,26.55,0.017,61.26,61.92,60.72,0,0,0,0,317.5,641.4,0
31/05/2023 21:10,13,0,9.78,0,26.33,26.4,26.25,0.048,62.97,62.97,61.93,0,0,0,0,4.002,641.4001,0
31/05/2023 21:20,14,0,0,0,25.78,25.94,25.63,0.102,65.26,65.37,63.98,0,0,0,0,316.5,641.3996,0
31/05/2023 21:30,15,0,0.228,0,25.56,25.58,25.54,0.013,64.05,65.14,64.05,0,0,0,0,327.5,641.3999,0
31/05/2023 21:40,16,0,4.398,0,25.42,25.45,25.37,0.026,65.4,65.75,65.05,0,0,0,0,332.5,641.4003,0
31/05/2023 21:50,17,0,0,0,25.21,25.27,25.19,0.027,65.08,66.42,65.08,0,0,0,0,336.5,641.3997,0
01/06/2023 07:40,18,1626,1823,1400,24.17,25.04,23.45,0.514,71.04,75.94,71.04,0,0,0,0,58.93,641.4007,0
01/06/2023 07:50,19,0,0,0,25.24,25.58,24.97,0.203,67.78,69.94,67.54,0,0,0,0,107.9,641.4006,0
01/06/2023 08:00,20,0,0,0,25.63,25.97,25.25,0.237,66.41,68.61,65.9,0,0,0,0,57.63,641.4005,0
01/06/2023 08:10,21,0,0,0,26.57,26.75,26.31,0.169,64.62,65.62,63.74,0,0,0,0,171.8,641.4,0
01/06/2023 08:20,22,0,0,0,26.46,26.66,25.99,0.202,65.57,65.57,63.8,0,0,0,0,150.4,641.4004,0
01/06/2023 08:30,23,0,0,0,25.73,26.1,25.48,0.216,65.57,67.53,65.57,0,0,0,0,134.5,641.4005,0
01/06/2023 08:40,24,0,0,0,26.68,26.94,26.46,0.152,62.98,64.89,62.98,0,0,0,0,6.071,641.4006,0
01/06/2023 08:50,25,0,0,0,27.19,27.25,27.13,0.04,62.99,62.99,61.99,0,0,0,0,87,641.4006,0
01/06/2023 09:00,26,0,0,0,27.04,27.14,26.96,0.064,62.66,62.66,61.6,0,0,0,0,178.2,641.4008,0
01/06/2023 09:10,27,0,0,0,27.21,27.36,27.05,0.105,61.62,61.62,59.24,0,0,0,0,158.9,641.4006,0
01/06/2023 09:20,28,0,0,0,27.02,27.18,26.93,0.088,60.23,60.82,59.84,0,0,0,0,173.2,641.4005,0
01/06/2023 09:30,29,0,0,0,27.77,27.8,27.72,0.028,58.55,58.88,58.55,0,0,0,0,176.7,641.4003,0
01/06/2023 09:40,30,0,0,0,28.16,28.21,28.11,0.048,58.97,58.97,58.55,0,0,0,0,128.4,641.4011,0
01/06/2023 09:50,31,0,0,0,27.46,27.46,27.46,0,60.66,60.66,60.66,0,0,0,0,151.8,641.4003,0
01/06/2023 10:00,32,0,0,0,27.61,27.87,27.38,0.147,59.71,61.89,59.71,0,0,0,0,160.2,641.4005,0
01/06/2023 10:10,33,0,0,0,27.86,28.1,27.52,0.168,59.85,61.38,58.54,0,0,0,0,131.9,641.4005,0
01/06/2023 10:20,34,0,0,0,27.86,28.32,27.28,0.361,61.58,61.58,58.34,0,0,0,0,157.9,641.4005,0
01/06/2023 10:30,35,0,0,0,28.31,28.7,27.71,0.324,58.55,60.8,57.51,0,0,0,0,200.4,641.4003,0
01/06/2023 10:40,36,0,0,0,27.49,28.11,27.28,0.244,58.37,60.85,58.37,0,0,0,0,213.7,641.4004,0
01/06/2023 10:50,37,0,0,0,28.35,28.68,27.97,0.194,56.18,59.13,56.07,0,0,0,0,128.4,641.4005,0
01/06/2023 11:00,38,0,0,0,28.42,28.96,27.88,0.395,57.03,57.82,53.37,0,0,0,0,89.5,641.4005,0
01/06/2023 11:10,0,0,0,0,29.65,29.74,29.45,0.101,52.53,53.84,52.53,0,0,0,0,207,641.4003,0
01/06/2023 11:20,1,0,0,0,29.95,29.99,29.89,0.038,51.81,51.94,51.2,0,0,0,0,232.9,641.4001,0
01/06/2023 11:30,2,0,0,0,29.72,29.74,29.69,0.019,50.92,52.2,50.92,0,0,0,0,158.6,641.4005,0
01/06/2023 11:40,3,0,0,0,29.33,29.36,29.31,0.025,50.91,50.91,50.7,0,0,0,0,29.9,641.4006,0
01/06/2023 11:50,4,0,0,0,29.52,29.52,29.52,0,50.64,50.64,50.64,0,0,0,0,102.6,641.3997,0
01/06/2023 12:00,5,0,0,0,30.12,30.59,29.62,0.284,50.04,50.77,48.65,0,0,0,0,72.44,641.4003,0
01/06/2023 12:10,0,0,0,0,30.17,30.55,29.93,0.196,48.88,49.81,47.85,0,0,0,0,129.3,641.4004,0
01/06/2023 12:20,1,0,0,0,30.69,30.82,30.61,0.069,47.28,48.55,47.13,0,0,0,0,48.86,641.4002,0
01/06/2023 12:30,2,0,0,0,31.32,31.58,31.06,0.165,46.12,47.17,45.88,0,0,0,0,121.2,641.4003,0
01/06/2023 12:40,3,931,602.9,258.3,31.44,31.67,31.23,0.145,45.84,47.26,45.05,1.825,3.475,0,0.938,47.25,996.5848,0
